what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430196295973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430196301968
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430196323067
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430196326643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430196433622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430196450088
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430196483419
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430196484630
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430196493338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430196509335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430196509459
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430196509506
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1430196516767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430196523977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430196531015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430196531124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430196531249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430196541440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430196545614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430196545755
